Worker_refined,repo_refined,Coding Effort,"Month, Day, Year of Date"
gek,TZA,0,7/1/2015
lhe,WKP,5,7/1/2015
tbr,FPM,0,7/1/2015
dbs,BTX,0,7/1/2015
bjx,APK,3.67,7/1/2015
bjx,NKC,1.32,7/1/2015
tuf,JYL,0,7/1/2015
lws,IBW,0,7/1/2015
qjv,DTE,5,7/1/2015
hgv,OOT,0,7/1/2015
xzb,PTK,0,7/1/2015
jkg,GRN,0,7/1/2015
ler,DCM,0,7/1/2015
fhl,GXP,5,7/1/2015
nkl,KGD,0.08,7/1/2015
nkl,FOE,0,7/1/2015
nkl,YBF,0.54,7/1/2015
nkl,PLT,4.37,7/1/2015
ktt,XEP,0,7/1/2015
amp,NOG,5,7/1/2015
jio,VPP,5,7/1/2015
alq,UKF,0,7/1/2015
dth,CUI,5,7/1/2015
hxd,UKA,5,7/1/2015
vxn,XNU,0,7/1/2015
uwk,UZB,0,7/1/2015
hlm,GPW,0,7/1/2015
hlm,YJQ,5,7/1/2015
ilq,FJV,5,7/1/2015
okn,QQS,0,7/1/2015
dsd,UAO,0,7/1/2015
zde,HFQ,4.6,7/1/2015
jzz,DCM,0,7/1/2015
aax,PHM,0,7/1/2015
inu,KGD,0,7/1/2015
exf,CRD,5,7/1/2015
zhb,CUI,0,7/1/2015
nhy,GFY,0,7/1/2015
cnu,HFQ,0,7/1/2015
dsj,RSO,5,7/1/2015
mcd,PTK,0,7/1/2015
ata,MNT,2.5,7/1/2015
ata,QRO,2.49,7/1/2015
jtb,BEK,5,7/1/2015
clj,MBV,5,7/1/2015
ujg,VKE,4.8,7/1/2015
msg,IRT,0,7/1/2015
muy,MWP,0,7/1/2015
qcy,TEK,0,7/1/2015
dup,JGK,5,7/1/2015
dup,RRO,0,7/1/2015
qne,VOF,0,7/1/2015
pck,KGD,5,7/1/2015
ioc,LZH,0,7/1/2015
nwd,UZB,5,7/1/2015
vyc,XWQ,5,7/1/2015
pnr,TRU,5,7/1/2015
gqe,TGC,0,7/1/2015
god,YEV,5,7/1/2015
dgq,YEV,0,7/1/2015
ogc,QVZ,0,7/1/2015
ogc,ELT,0,7/1/2015
jjv,YEV,5,7/1/2015
gsx,GVQ,0,7/1/2015
tln,FYL,5,7/1/2015
qol,AXX,0,7/1/2015
qol,XSF,0,7/1/2015
iid,DRF,5,7/1/2015
xtb,MZA,5,7/1/2015
qud,UAO,5,7/1/2015
uwz,EVY,0,7/1/2015
kce,HFQ,5.26,7/1/2015
nbq,XBV,5,7/1/2015
eyj,APY,0,7/1/2015
kqv,CUI,0,7/1/2015
all,JXW,0,7/1/2015
tfr,MBV,5,7/1/2015
nbi,JID,0,7/1/2015
shg,HEL,5,7/1/2015
qgo,IPL,5,7/1/2015
znn,POX,0,7/1/2015
xsi,KGD,5,7/1/2015
ycs,YDX,0,7/1/2015
cuy,JXW,5,7/1/2015
anj,SPG,0,7/1/2015
lxn,JIV,5,7/1/2015
yly,MBV,2.67,7/1/2015
nmx,PHM,5,7/1/2015
edo,CBJ,5.18,7/1/2015
hju,RKW,5,7/1/2015
csg,LZH,0,7/1/2015
qjx,SPG,4.05,7/1/2015
qjx,GSE,0.94,7/1/2015
hdg,AOZ,0,7/1/2015
eav,KFR,5,7/1/2015
edc,TEK,0,7/1/2015
tng,BKC,0,7/1/2015
rap,KGD,0,7/1/2015
zvc,VKK,0,7/1/2015
okm,HFQ,0,7/1/2015
ksh,XHS,0,7/1/2015
ksh,TEK,0,7/1/2015
zzr,CUI,0,7/1/2015
tda,KVM,5,7/1/2015
ird,YEO,5,7/1/2015
maz,LZH,0,7/1/2015
cwe,KGD,0,7/1/2015
hvb,TQG,5,7/1/2015
dfb,KGD,2.54,7/1/2015
yxb,PNJ,0,7/1/2015
qbw,PPY,1.34,7/1/2015
doq,XKI,0,7/1/2015
doq,RXS,5,7/1/2015
bzb,TEK,0,7/1/2015
oux,JHS,5,7/1/2015
auc,NWN,5,7/1/2015
vrl,FBH,0,7/1/2015
wsa,COH,0,7/1/2015
zqe,CQO,4.46,7/1/2015
zqe,IDP,0,7/1/2015
zqe,HJR,0.52,7/1/2015
zqe,LHC,0.01,7/1/2015
hlc,KFR,0,7/1/2015
rve,BZZ,0.33,7/1/2015
rve,VPH,4.66,7/1/2015
snc,NFF,3.87,7/1/2015
snc,QLX,1.12,7/1/2015
kiw,XBV,5,7/1/2015
coj,IAN,5,7/1/2015
cge,KGD,0,7/1/2015
hjk,GPW,5,7/1/2015
bht,CLC,0,7/1/2015
vbv,BEK,0,7/1/2015
ejr,DZF,0,7/1/2015
xdr,CUI,0,7/1/2015
gqw,UAO,0,7/1/2015
nac,AOZ,0,7/1/2015
pcl,ETU,0,7/1/2015
vil,XWQ,5,7/1/2015
ypy,YEV,5,7/1/2015
lgl,QHG,0,7/1/2015
tge,XBV,5,7/1/2015
kzs,KAM,5,7/1/2015
kzs,MNG,0,7/1/2015
vaz,PGR,4.99,7/1/2015
vaz,IIO,0,7/1/2015
jsy,KXK,0,7/1/2015
ckz,PKU,5,7/1/2015
ddm,JIV,0,7/1/2015
sko,GSE,5,7/1/2015
nvf,YEV,5,7/1/2015
wzs,FVQ,0,7/1/2015
xiq,FVQ,0,7/1/2015
djg,FKJ,5,7/1/2015
pgy,MRX,5,7/1/2015
fgi,WEH,5,7/1/2015
vie,WAU,0,7/1/2015
mwu,UKF,0,7/1/2015
cxi,LZH,5,7/1/2015
wae,OOT,0,7/1/2015
djs,BEK,0,7/1/2015
ppd,GGP,0,7/1/2015
ppd,AAJ,4.22,7/1/2015
ppd,VNU,0.75,7/1/2015
ppd,WHN,0.02,7/1/2015
oit,YEV,5,7/1/2015
cxy,WEH,5,7/1/2015
cxy,KDJ,0,7/1/2015
dve,KHL,2.38,7/1/2015
ukv,CUI,5,7/1/2015
owg,BEL,5,7/1/2015
cuq,ITO,5,7/1/2015
jmh,DQZ,0,7/1/2015
tvm,BEL,1.61,7/1/2015
yow,QZO,5,7/1/2015
oix,PWO,2.77,7/1/2015
qvc,HFQ,0,7/1/2015
min,COH,0,7/1/2015
iwn,DKD,5,7/1/2015
ell,RSO,5,7/1/2015
czt,ZSI,0,7/1/2015
jcm,LZH,0,7/1/2015
pnx,RSI,0,7/1/2015
jlf,OOT,5,7/1/2015
vpq,RLM,0,7/1/2015
clm,JXW,0,7/1/2015
tel,OOT,0,7/1/2015
vwl,CUI,0,7/1/2015
xev,PAW,0,7/1/2015
uda,DKD,5,7/1/2015
ojj,HFQ,5,7/1/2015
lyn,VNV,0,7/1/2015
arl,PRP,0,7/1/2015
njq,AQE,5,7/1/2015
jci,AKZ,0,7/1/2015
uam,KHL,0,7/1/2015
enq,UZB,5,7/1/2015
iuv,BSU,2.08,7/1/2015
iuv,XAA,2.08,7/1/2015
rva,LJR,0,7/1/2015
erj,HFQ,5,7/1/2015
wwe,HJD,0,7/1/2015
iwo,FST,0,7/1/2015
hrg,KGD,2.53,7/1/2015
hrg,WUD,2.46,7/1/2015
zcf,UAO,5,7/1/2015
rlj,JXW,5,7/1/2015
ywo,ZZO,0,7/1/2015
plp,ZOD,2.59,7/1/2015
plp,WPK,2.4,7/1/2015
jpg,PTK,2.83,7/1/2015
jpg,TTM,2.16,7/1/2015
fpq,GYL,0,7/1/2015
gqd,RKW,5,7/1/2015
ucv,HSS,0,7/1/2015
wfg,UKA,0,7/1/2015
lnl,UKA,0,7/1/2015
jxo,UKF,0,7/1/2015
ojq,QMH,0,7/1/2015
bwv,RXS,5,7/1/2015
gcs,ZHN,0.56,7/1/2015
gcs,CCR,0.04,7/1/2015
gcs,QUF,0,7/1/2015
gcs,EGD,4.38,7/1/2015
oyf,NKC,5,7/1/2015
fjw,HEL,0,7/1/2015
zlg,CUI,5,7/1/2015
bxd,YGF,0,7/1/2015
mdu,VNH,4.03,7/1/2015
mdu,TXY,0.96,7/1/2015
cyc,HFQ,0,7/1/2015
ehe,FPE,0,7/1/2015
mal,TGC,5,7/1/2015
fsc,COH,0,7/1/2015
bch,WMS,5,7/1/2015
hsh,BZZ,5,7/1/2015
mou,HFQ,5,7/1/2015
jex,FMT,0,7/1/2015
jex,KUF,0.67,7/1/2015
jex,TLN,4.32,7/1/2015
nyz,UTL,5,7/1/2015
stt,XBV,5,7/1/2015
eix,FPM,1.25,7/1/2015
xnf,LZH,5,7/1/2015
thd,LZH,0,7/1/2015
zjj,DKD,5,7/1/2015
kyi,DQZ,5,7/1/2015
atq,HFQ,0,7/1/2015
kpt,JYX,5,7/1/2015
agw,LHC,5,7/1/2015
nfd,ZVN,5,7/1/2015
spl,MEY,2.02,7/1/2015
qbo,NMU,5,7/1/2015
azj,ZVN,5,7/1/2015
jla,JHS,4.72,7/1/2015
jla,PGR,0.27,7/1/2015
tud,HFQ,0,7/1/2015
nja,ZZP,0,7/1/2015
cem,OOT,5,7/1/2015
cfd,FYL,5,7/1/2015
hnm,HEL,0,7/1/2015
xnq,MCW,5,7/1/2015
vab,LJG,5,7/1/2015
qja,KGD,5.02,7/1/2015
qrw,OOT,0,7/1/2015
nco,WTS,5,7/1/2015
qwa,LHC,2.24,7/1/2015
qwa,UXF,2.75,7/1/2015
ycf,DKD,0,7/1/2015
qjm,EGO,0,7/1/2015
jtu,LZH,5,7/1/2015
cdv,XKI,0,7/1/2015
ydd,LHC,0,7/1/2015
fxm,OOT,0,7/1/2015
hrq,PYN,0,7/1/2015
qfq,XJW,5,7/1/2015
qev,KGD,5,7/1/2015
mjk,EVB,5,7/1/2015
gav,GMW,5,7/1/2015
gtb,WPN,0,7/1/2015
gfb,XAS,0,7/1/2015
zbz,UAO,5,7/1/2015
txb,WPN,5,7/1/2015
hxh,DCN,5,7/1/2015
qkb,PYN,0,7/1/2015
cnh,YEV,5,7/1/2015
cxv,DCN,0,7/1/2015
euu,EGL,0,7/1/2015
vpt,TSE,5,7/1/2015
pmn,HFQ,0,7/1/2015
vlp,OOT,0,7/1/2015
lgb,XIZ,0,7/1/2015
cor,IKT,5,7/1/2015
oca,AOZ,0,7/1/2015
vcm,SNL,0,7/1/2015
khu,VOF,0,7/1/2015
wbx,FRR,0,7/1/2015
xxm,IPL,0,7/1/2015
uwe,JYX,5,7/1/2015
bqr,KGD,0,7/1/2015
bxu,FYL,5,7/1/2015
bmp,VPP,4.99,7/1/2015
bmp,IFW,0,7/1/2015
unx,HEL,0,7/1/2015
sjg,CUI,0,7/1/2015
iep,CRD,0,7/1/2015
ani,VRS,0,7/1/2015
awk,NKC,5,7/1/2015
ynq,YEV,5,7/1/2015
fsa,XBV,5,7/1/2015
vep,XBV,5,7/1/2015
wef,FYL,0,7/1/2015
ccp,PXD,3.59,7/1/2015
coi,LHC,4.52,7/1/2015
coi,BZZ,0.04,7/1/2015
coi,MSN,0.42,7/1/2015
msn,TEK,5,7/1/2015
wxq,FRR,0,7/1/2015
ntg,JID,5,7/1/2015
cul,YEV,0,7/1/2015
bkh,FBM,0,7/1/2015
bkh,HVO,0,7/1/2015
bkh,DZF,0,7/1/2015
ocd,AOZ,0,7/1/2015
dds,YHM,5,7/1/2015
rks,MNT,0,7/1/2015
eek,ARN,0,7/1/2015
qxh,NTQ,0,7/1/2015
aaz,KGD,0,7/1/2015
flf,NOJ,5,7/1/2015
gkj,JGG,0,7/1/2015
xle,DKD,5,7/1/2015
znx,OWW,0,7/1/2015
wch,KEN,0.02,7/1/2015
wch,JJP,4.97,7/1/2015
jbo,JXW,5,7/1/2015
jqt,SFT,5,7/1/2015
cnd,KGD,0.59,7/1/2015
cnd,GPW,4.4,7/1/2015
oij,KGD,5,7/1/2015
qbt,GIG,5,7/1/2015
tnp,FKJ,5,7/1/2015
mpl,HFQ,5,7/1/2015
qdt,JIV,0,7/1/2015
vbe,DKD,0,7/1/2015
ngt,MEY,5,7/1/2015
jsj,BEK,5,7/1/2015
xyu,XBV,0,7/1/2015
gyi,MRX,0,7/1/2015
pec,SBM,5,7/1/2015
hzx,NBJ,0,7/1/2015
kbc,XHS,0,7/1/2015
qvy,YTT,5,7/1/2015
bvk,AOZ,0,7/1/2015
ein,KSD,5,7/1/2015
eev,ZZO,5,7/1/2015
axr,GSE,0,7/1/2015
amf,LZH,1.18,7/1/2015
sly,ZVR,0,7/1/2015
eun,BGH,0,7/1/2015
nen,EZU,0,7/1/2015
aah,KNU,0,7/1/2015
gfl,VUM,5,7/1/2015
jxq,XNP,0,7/1/2015
hcs,XBV,5,7/1/2015
pqg,YPU,0,7/1/2015
oxv,YEV,5,7/1/2015
xza,SFS,5.19,7/1/2015
weq,LJR,5,7/1/2015
ywg,NZT,0,7/1/2015
rzz,FCO,0,7/1/2015
xso,HFQ,0,7/1/2015
hmj,RRC,5,7/1/2015
cck,JIV,5,7/1/2015
mvb,KGD,1.92,7/1/2015
mvb,GPW,3.07,7/1/2015
qzg,OOT,0,7/1/2015
zrh,HFQ,5,7/1/2015
win,HIW,0,7/1/2015
kto,AAJ,0,7/1/2015
kto,ZAJ,0,7/1/2015
ial,COH,0.67,7/1/2015
yoc,NOG,0,7/1/2015
zrq,PYN,0,7/1/2015
zrq,EGL,0,7/1/2015
oez,QQS,0,7/1/2015
sjo,XBV,5,7/1/2015
aqh,XBV,5,7/1/2015
vlz,HFQ,0,7/1/2015
ywd,FPM,1.05,7/1/2015
pze,HFQ,5,7/1/2015
dqw,NBX,5,7/1/2015
bhc,HSS,5,7/1/2015
iyb,DRF,5,7/1/2015
nbm,MQB,0,7/1/2015
xks,NWN,0,7/1/2015
iwq,FPM,0,7/1/2015
rdu,ZTD,5,7/1/2015
cfb,XWQ,0,7/1/2015
bsj,FNZ,0,7/1/2015
ico,WEH,0,7/1/2015
jux,PLS,0,7/1/2015
var,TEK,0,7/1/2015
zjk,GKD,0,7/1/2015
rqt,KGD,0,7/1/2015
cpf,TEK,0,7/1/2015
fpj,HEL,0,7/1/2015
voq,HEL,0,7/1/2015
lre,DSZ,0,7/1/2015
ohl,NXZ,0,7/1/2015
xzn,WCZ,5,7/1/2015
cvg,SHR,5,7/1/2015
kgt,EVF,5,7/1/2015
hir,OWL,5,7/1/2015
zzc,FHJ,0,7/1/2015
ndo,XWQ,5,7/1/2015
ffk,OJG,5,7/1/2015
hgu,FKJ,0,7/1/2015
ing,KGD,2.32,7/1/2015
ing,OQJ,1.35,7/1/2015
fhf,XBV,5,7/1/2015
pdf,THG,1.05,7/1/2015
fcs,FJV,5,7/1/2015
smj,SHR,0,7/1/2015
btj,ZFM,0,7/1/2015
uen,XWQ,5,7/1/2015
xld,CUI,0,7/1/2015
wgk,GYI,0,7/1/2015
wgk,WTN,0,7/1/2015
had,WEH,0,7/1/2015
aem,COH,5,7/1/2015
nrc,PAW,5,7/1/2015
bnq,KHL,0,7/1/2015
nqk,GPW,0,7/1/2015
bsk,JID,0,7/1/2015
zrb,LJR,0,7/1/2015
amd,TEK,3.9,7/1/2015
iru,JIV,0,7/1/2015
bdn,MRX,5,7/1/2015
ndc,TEK,5,7/1/2015
nel,SBM,0,7/1/2015
uzx,ZZO,0,7/1/2015
yyk,TLN,4.79,7/1/2015
yyk,WDU,0.2,7/1/2015
ybl,DQZ,0,7/1/2015
dld,PCS,0,7/1/2015
wjj,KFR,5,7/1/2015
syg,KGD,0,7/1/2015
pyd,TEK,0,7/1/2015
cst,POX,5,7/1/2015
rov,YST,0,7/1/2015
hor,BEK,1.54,7/1/2015
zva,XWQ,5,7/1/2015
fwo,DKD,0,7/1/2015
ovd,TCX,5,7/1/2015
ydl,THG,0,7/1/2015
ovy,OWL,0,7/1/2015
ovy,VQT,5,7/1/2015
hft,YEV,5,7/1/2015
zhw,OOT,0,7/1/2015
lsk,KSD,2.32,7/1/2015
lsk,PBZ,2.67,7/1/2015
rnw,LZH,0,7/1/2015
unv,JHS,5,7/1/2015
kjj,UKA,0,7/1/2015
hkd,PTK,0,7/1/2015
tmn,CRG,0,7/1/2015
ruc,JXW,5,7/1/2015
tnb,EUQ,0,7/1/2015
ilb,LZH,5,7/1/2015
kcc,DQY,0,7/1/2015
fdc,XWQ,0,7/1/2015
lua,EEE,0,7/1/2015
rtm,QZO,0,7/1/2015
tcb,GXP,5,7/1/2015
xqj,GFY,5,7/1/2015
xuc,LHC,2.17,7/1/2015
xuc,UXF,2.82,7/1/2015
rzo,HFQ,0,7/1/2015
way,PXD,5,7/1/2015
tvt,WPN,5,7/1/2015
yrl,XKI,0,7/1/2015
wtu,KFR,0,7/1/2015
wtu,DRO,0,7/1/2015
gpi,RLM,3.65,7/1/2015
fpx,OOT,0,7/1/2015
tuy,KHL,2.77,7/1/2015
jfg,XKI,0,7/1/2015
onw,ETZ,5,7/1/2015
swe,XWQ,0.1,7/1/2015
pma,FCO,0,7/1/2015
bxo,MNT,2.44,7/1/2015
bxo,QRO,2.55,7/1/2015
nom,DQY,0,7/1/2015
mko,XWQ,5,7/1/2015
tvb,AOZ,0,7/1/2015
ues,GRV,0,7/1/2015
iaa,AQV,5,7/1/2015
tqw,YEV,5,7/1/2015
ulw,KGD,5,7/1/2015
jbw,FYL,5,7/1/2015
kpi,SIB,0,7/1/2015
prl,QFH,4.67,7/1/2015
avf,HZO,5,7/1/2015
urp,KPH,5,7/1/2015
cgb,HJD,5,7/1/2015
kqg,XWQ,0.72,7/1/2015
hzy,FKJ,5,7/1/2015
tdr,YPU,5,7/1/2015
btr,BSO,5,7/1/2015
nir,BFF,5,7/1/2015
kbi,RSO,5,7/1/2015
rxt,SXE,0,7/1/2015
eap,DCM,0,7/1/2015
hej,RSO,0,7/1/2015
fui,OOL,0,7/1/2015
eih,LDN,5,7/1/2015
khw,BZY,0,7/1/2015
khw,GUG,0,7/1/2015
lkm,LJR,5,7/1/2015
ocn,QMN,2.31,7/1/2015
iuy,JFO,5,7/1/2015
aep,MRX,5,7/1/2015
kpz,YFB,0,7/1/2015
uzk,FCO,5,7/1/2015
rvo,HFQ,0,7/1/2015
roy,MNT,2.5,7/1/2015
roy,QRO,2.49,7/1/2015
ftx,AXX,2.08,7/1/2015
ftx,XSF,2.91,7/1/2015
bfz,OQA,0,7/1/2015
xoc,VMW,0.74,7/1/2015
ciw,ETJ,0,7/1/2015
tzp,MRX,5,7/1/2015
ahj,RRC,0,7/1/2015
zsp,HIS,0,7/1/2015
paz,BSU,0.33,7/1/2015
paz,XAA,0.33,7/1/2015
paz,ETV,3.99,7/1/2015
pht,DQZ,5.12,7/1/2015
pxy,UEP,5,7/1/2015
vbl,XQP,5,7/1/2015
kgu,WMQ,0,7/1/2015
uin,WMQ,0,7/1/2015
ciu,SIB,5,7/1/2015
igq,ETU,0,7/1/2015
igq,XNV,0,7/1/2015
tsl,GSE,5,7/1/2015
jqy,HWK,0,7/1/2015
lpv,LZH,5,7/1/2015
obz,IFO,2.34,7/1/2015
obz,XVS,2.5,7/1/2015
lto,HIW,5,7/1/2015
xrt,DQZ,1.64,7/1/2015
xrt,JYX,3.35,7/1/2015
hov,FAB,0,7/1/2015
ldh,IFO,2.11,7/1/2015
ldh,XVS,2.88,7/1/2015
dnf,TEK,0,7/1/2015
lvh,QFH,4.95,7/1/2015
iwz,UEP,0,7/1/2015
gid,XWQ,5,7/1/2015
gzf,GRV,0,7/1/2015
jid,APY,0,7/1/2015
mxk,UAO,5,7/1/2015
oeq,WMQ,0,7/1/2015
soy,MRX,5,7/1/2015
soq,DKD,5,7/1/2015
yok,DKD,3.68,7/1/2015
yok,ZTD,0.75,7/1/2015
pdy,JYL,5,7/1/2015
ber,EBB,0,7/1/2015
hcb,KBU,0,7/1/2015
lsl,LZH,5,7/1/2015
fpk,GRN,0,7/1/2015
nxr,FIR,4.17,7/1/2015
nxr,IJV,0.82,7/1/2015
rsg,LZH,5,7/1/2015
ywe,LJR,5,7/1/2015
fye,WSG,0,7/1/2015
btw,LJR,0,7/1/2015
xgw,LQX,5,7/1/2015
mbb,UZB,4.36,7/1/2015
nti,RSO,5,7/1/2015
bls,KHL,0,7/1/2015
shu,DJY,2.37,7/1/2015
shu,PJB,2.62,7/1/2015
pem,RRO,5,7/1/2015
flc,HCY,0,7/1/2015
mml,ZVN,0,7/1/2015
jvf,HIS,0,7/1/2015
gun,SHI,5,7/1/2015
ous,IFB,0,7/1/2015
kbq,TEK,5,7/1/2015
qlf,WPT,0,7/1/2015
qbd,OGF,5.07,7/1/2015
jxs,AOZ,5,7/1/2015
tsy,EUQ,0,7/1/2015
vgc,DQZ,0,7/1/2015
txs,XHS,5,7/1/2015
byw,YKZ,2.14,7/1/2015
kwk,WQD,5,7/1/2015
gqb,ZZO,5,7/1/2015
xfy,XHS,1.53,7/1/2015
xfy,XWQ,3.46,7/1/2015
vqr,ZJJ,0,7/1/2015
imz,LBE,5,7/1/2015
isw,GYI,0,7/1/2015
isw,WTN,0,7/1/2015
yuo,YZE,5,7/1/2015
pnd,JID,0,7/1/2015
nkq,DKD,0,7/1/2015
usj,JXW,5,7/1/2015
mzs,JHS,5,7/1/2015
ypv,RXS,5,7/1/2015
